subj,trial,soa_ms,catch_trial,detect_yn,confidence,rt_prime_ms,prime_shown,prime_congruent,prime_correct,threshold
Sevan,0,154.63246789892446,True,False,20,998.9581000991166,True,False,False,154.63246789892446
Sevan,1,144.63246789892446,False,False,50,839.7280997596681,True,True,True,154.63246789892446
Sevan,2,144.63246789892446,False,False,40,702.4289001710713,True,True,False,154.63246789892446
Sevan,3,134.63246789892446,False,False,40,765.8112999051809,True,False,True,154.63246789892446
Sevan,4,204.63246789892446,False,True,80,556.6258002072573,True,True,True,154.63246789892446
Sevan,5,204.63246789892446,False,True,40,750.8875001221895,True,True,False,154.63246789892446
Sevan,6,154.63246789892446,True,False,40,681.725800037384,True,False,False,154.63246789892446
Sevan,7,134.63246789892446,False,True,80,439.5836000330746,True,True,True,154.63246789892446
Sevan,8,164.63246789892446,False,True,90,308.81839990615845,True,True,True,154.63246789892446
Sevan,9,134.63246789892446,False,True,40,507.53970025107265,True,True,True,154.63246789892446
Sevan,10,144.63246789892446,False,True,80,366.30599992349744,True,False,False,154.63246789892446
Sevan,11,154.63246789892446,False,True,90,384.61529975757,False,False,,154.63246789892446
Sevan,12,134.63246789892446,False,True,80,404.80419993400574,True,False,False,154.63246789892446
Sevan,13,119.63246789892446,False,True,50,399.7740000486374,True,True,True,154.63246789892446
Sevan,14,189.63246789892446,False,True,70,386.6392998024821,True,True,True,154.63246789892446
Sevan,15,154.63246789892446,False,True,80,435.40089996531606,True,False,False,154.63246789892446
Sevan,16,154.63246789892446,True,False,50,1051.9179999828339,True,False,False,154.63246789892446
Sevan,17,119.63246789892446,False,False,50,14492.13539995253,True,False,True,154.63246789892446
Sevan,18,204.63246789892446,False,True,80,381.0771000571549,True,True,True,154.63246789892446
Sevan,19,104.63246789892446,False,True,50,569.6764998137951,True,True,False,154.63246789892446
Sevan,20,154.63246789892446,False,True,70,331.9550002925098,False,False,,154.63246789892446
Sevan,21,144.63246789892446,False,True,90,341.95439983159304,True,False,False,154.63246789892446
Sevan,22,104.63246789892446,False,False,50,801.9968997687101,True,True,False,154.63246789892446
Sevan,23,204.63246789892446,False,True,90,386.9115998968482,True,True,True,154.63246789892446
Sevan,24,119.63246789892446,False,True,70,443.71060002595186,True,False,False,154.63246789892446
Sevan,25,164.63246789892446,False,True,80,396.0582995787263,True,False,False,154.63246789892446
Sevan,26,204.63246789892446,False,True,90,1198.7411002628505,True,False,False,154.63246789892446
Sevan,27,154.63246789892446,True,False,90,10645.635299850255,True,False,False,154.63246789892446
Sevan,28,154.63246789892446,False,False,40,26065.47599984333,False,False,,154.63246789892446
Sevan,29,154.63246789892446,True,False,40,721.5351001359522,True,False,True,154.63246789892446
Sevan,30,204.63246789892446,False,True,60,498.78229992464185,True,True,True,154.63246789892446
Sevan,31,104.63246789892446,False,True,60,318.5872999019921,True,False,False,154.63246789892446
Sevan,32,189.63246789892446,False,True,70,329.0631999261677,True,True,True,154.63246789892446
Sevan,33,174.63246789892446,False,False,50,911.9381997734308,True,False,False,154.63246789892446
Sevan,34,104.63246789892446,False,False,40,610.210900194943,True,True,False,154.63246789892446
Sevan,35,104.63246789892446,False,False,30,848.3506999909878,True,False,False,154.63246789892446
Sevan,36,164.63246789892446,False,False,40,418.9256001263857,True,True,True,154.63246789892446
Sevan,37,154.63246789892446,False,True,70,912.7042000181973,True,False,False,154.63246789892446
Sevan,38,104.63246789892446,False,True,100,336.08079981058836,True,True,True,154.63246789892446
Sevan,39,154.63246789892446,False,True,60,3060.0456995889544,False,False,,154.63246789892446
Sevan,40,154.63246789892446,False,True,70,425.48130033537745,True,False,False,154.63246789892446
Sevan,41,154.63246789892446,False,False,50,565.2883001603186,True,False,False,154.63246789892446
Sevan,42,134.63246789892446,False,True,70,467.6861995831132,True,False,False,154.63246789892446
Sevan,43,204.63246789892446,False,False,70,570.0218002311885,True,False,False,154.63246789892446
Sevan,44,134.63246789892446,False,True,100,443.2152998633683,True,False,False,154.63246789892446
Sevan,45,174.63246789892446,False,True,60,757.1463999338448,True,False,True,154.63246789892446
Sevan,46,154.63246789892446,False,True,50,752.2774999961257,False,False,,154.63246789892446
Sevan,47,174.63246789892446,False,False,70,531.2033998779953,True,True,True,154.63246789892446
Sevan,48,104.63246789892446,False,True,50,846.0479998029768,True,True,True,154.63246789892446
Sevan,49,189.63246789892446,False,True,100,419.05369982123375,True,True,True,154.63246789892446
Sevan,50,154.63246789892446,True,False,60,424.91349996998906,True,False,True,154.63246789892446
Sevan,51,154.63246789892446,True,True,50,1154.3335001915693,True,False,True,154.63246789892446
Sevan,52,154.63246789892446,False,True,100,399.679200258106,False,False,,154.63246789892446
Sevan,53,204.63246789892446,False,True,50,816.093800123781,True,False,False,154.63246789892446
Sevan,54,144.63246789892446,False,True,80,186.37470016255975,True,True,True,154.63246789892446
Sevan,55,154.63246789892446,True,False,80,1476.3202001340687,True,False,True,154.63246789892446
Sevan,56,174.63246789892446,False,True,60,446.7523000203073,True,False,False,154.63246789892446
Sevan,57,174.63246789892446,False,True,100,410.3736998513341,True,False,False,154.63246789892446
Sevan,58,104.63246789892446,False,True,60,418.1618997827172,True,True,True,154.63246789892446
Sevan,59,164.63246789892446,False,True,80,484.53789995983243,True,False,False,154.63246789892446
Sevan,60,154.63246789892446,False,True,50,432.8866000287235,True,False,False,154.63246789892446
Sevan,61,154.63246789892446,False,True,100,425.6215998902917,False,False,,154.63246789892446
Sevan,62,144.63246789892446,False,True,30,645.880900323391,True,False,False,154.63246789892446
